team,oc_name,years_in_role,architect_status,passing_system,running_system,personnel_preference,pace_identity,qb_type,redzone_identity,coaching_tree,mentor_primary,ol_coach,one_liner_identity
ARI,Nathaniel Hackett,3 (2023-),HC = architect (Mike LaFleur runs offense),Shanahan WCO with motion,Outside zone with gap complement,11 personnel base,Moderate,Mobile dual-threat (Kyler Murray),QB-run / RPO heavy,Gruden → Matt LaFleur,Matt LaFleur,Gap-scheme lean,Brother of GB HC; OC supporting McVay's play-call.
ATL,Tommy Rees,2 (2024-),HC = architect (Kevin Stefanski runs offense),McVay-tree WCO with deep play-action,Outside zone with gap complement,"11 personnel base, 12 in red zone",Moderate,Pocket passer with play-action lean (Penix),"Heavy, play-action / boot",Brian Kelly → Kevin Stefanski,Kevin Stefanski,Bill Callahan,Old-school-leaning WCO with ball-control focus.
BAL,Declan Doyle,4 (2023-),Coordinator runs offense (Minter = defensive HC),Vertical Coryell / WCO hybrid with Lamar-tailored RPO and mobile elements,Outside zone + gap mix,11/12 personnel mix,Moderate-to-fast,Mobile dual-threat (Lamar Jackson),QB-run + tight-set RPO,Sean Payton → Ben Johnson,Sean Payton,Dwayne Ledford,Young OC tasked with maximizing Lamar Jackson as a dual-threat MVP.
BUF,"Pete Carmichael, Jr.",3 (2024-),HC = architect (Joe Brady runs offense),Spread / Erhardt-Perkins hybrid with RPO and vertical concepts,Outside zone + gap mix,11 personnel base,"Up-tempo, no-huddle capable",Mobile dual-threat (Josh Allen),QB-run / play-action,Sean Payton,Sean Payton,Pat Meyer,Brady's evolving offense gets back to Payton roots to maximize Allen as a dual-threat MVP.
CAR,Brad Idzik,,HC = architect (Dave Canales runs offense),Carroll / Shanahan-adjacent passing,Outside zone with power-counter,11 personnel,Moderate,Pocket-mobile (Bryce Young),"Heavy, play-action / boot",Pete Carroll → Dave Canales,Dave Canales,Joe Gilbert,Canales calls plays; OC role supports Bryce Young's development.
CHI,Press Taylor,1 (2025-),HC = architect (Ben Johnson calls plays),"Shanahan WCO with shotgun, 11 personnel and motion",Outside zone + gap mix,11/12 mix with motion,Moderate,Pocket-mobile (Caleb Williams),Condensed-set creativity,Joe Philbin → Dan Campbell,Dan Campbell,Dan Roushar,Ben Johnson is the architect; Taylor administers the room.
CIN,Dan Pitcher,2 (2024-),HC = architect (Zac Taylor calls plays in most years),McVay WCO with vertical Coryell shots,Outside and inside zone,11 personnel base,Moderate,Pocket passer (Burrow),Stack/bunch + slot iso,Joe Philbin → Sean McVay,Sean McVay,Scott Peters,Internal promotion to admin role; Taylor remains play-caller.
CLE,Travis Switzer,2 (2025-),HC = architect (Todd Monken),WCO with Coryell and Air Raid shot complements,Outside zone primary,12/13 personnel sub-package heavy,Moderate,Pocket passer (Sanders),TE-heavy red zone,Les Miles → Mike Gundy → Kirby Smart,John Harbaugh,George Warhop,Monken has among the most diverse offensive backgrounds in the league.
DAL,Clayton Adams,1 (2026-),HC = architect (Schottenheimer is offensive HC),Coryell vertical with WCO underneath,Multiple zone/gap mix,11 personnel base,Moderate,Pocket passer (Dak Prescott),RB-friendly red zone,Coryell / Schottenheimer tree,Brian Schottenheimer,Conor Riley,OC supporting Schottenheimer's offensive identity.
DEN,Davis Webb,2 (2025-),HC = architect (Sean Payton calls plays),Coryell-WCO hybrid; RB+TE-friendly,Multiple personnel run game,11/12 mix,Moderate,Pocket passer with mobility (Bo Nix),RB-friendly red zone,Payton tree,Sean Payton,Chris Morgan,Payton remains architect; Webb administers the room.
DET,Drew Petzing,2 (2025-),Co-coordinator (Campbell trusts him; BJ template),WCO (Ben Johnson template inheritance),"Multiple zone/gap mix, with power-counter complement",11-heavy; more heavy expected,Methodical with situational tempo,Pocket passer (Goff),RB-friendly red zone,Zimmer → Kevin Stefanski,Kevin Stefanski,Hank Fraley,Continuity hire — preserve the Ben Johnson template while Campbell leads from the HC chair.
GB,Adam Stenavich,4 (2022-),HC = architect (Matt LaFleur calls plays),Shanahan WCO with motion,Outside zone primary,11 personnel base,Moderate,Pocket passer with mobility (Jordan Love),RB-friendly red zone,Shanahan → Matt LaFleur,Matt LaFleur,Luke Butkus,"OC working under LaFleur, with OL background."
HOU,Nick Caley,1 (2025-),Coordinator runs offense (Ryans = defensive HC),West Coast / Erhardt-Perkins hybrid passing; vertical play-action,Outside zone with gap complement,11 personnel base,Moderate,Pocket passer (CJ Stroud),TE-flex red zone,Belichick tree (NE) / McVay-adjacent (LA TE),Bill Belichick / Sean McVay,Cole Popovich,Belichick/McVay-hybrid OC tasked with Stroud's next leap.
